,Drug_name,Disease,Generic_name,Brand_names,Drug_class,Rx_OTC,Pregnancy,CSA,Alcohol
33,acetaminophen,ACL Injury (Muscle Pain),acetaminophen systemic, Mapap Arthritis Pain,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
34,acetaminophen,ACL Injury (Muscle Pain),acetaminophen systemic, Pharbetol,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
35,acetaminophen,ACL Injury (Muscle Pain),acetaminophen systemic, Tactinal,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
36,acetaminophen,ACL Injury (Muscle Pain),acetaminophen systemic, Tempra Quicklets,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
37,acetaminophen,ACL Injury (Muscle Pain),acetaminophen systemic, Tycolene,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
38,acetaminophen,ACL Injury (Muscle Pain),acetaminophen systemic, Tylophen,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
39,acetaminophen,ACL Injury (Muscle Pain),acetaminophen systemic, Vitapap,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
40,naproxen,ACL Injury (Muscle Pain),naproxen systemic,Aleve,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
41,naproxen,ACL Injury (Muscle Pain),naproxen systemic, Anaprox,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
42,naproxen,ACL Injury (Muscle Pain),naproxen systemic, Naprosyn,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
43,naproxen,ACL Injury (Muscle Pain),naproxen systemic, Naprelan,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
44,naproxen,ACL Injury (Muscle Pain),naproxen systemic, Anaprox-DS,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
45,naproxen,ACL Injury (Muscle Pain),naproxen systemic, Aflaxen,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
46,naproxen,ACL Injury (Muscle Pain),naproxen systemic, All Day Pain Relief,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
47,naproxen,ACL Injury (Muscle Pain),naproxen systemic, All Day Relief,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
48,naproxen,ACL Injury (Muscle Pain),naproxen systemic, EC-Naprosyn,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
49,naproxen,ACL Injury (Muscle Pain),naproxen systemic, Flanax Pain Reliever,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
50,naproxen,ACL Injury (Muscle Pain),naproxen systemic, Midol Extended Relief,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
51,diclofenac,ACL Injury (Muscle Pain),diclofenac systemic,Voltaren,Nonsteroidal anti-inflammatory drugs ,Available by prescription only,Pregnancy Category D: Positive evidence of risk,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
52,diclofenac,ACL Injury (Muscle Pain),diclofenac systemic, Cataflam,Nonsteroidal anti-inflammatory drugs ,Available by prescription only,Pregnancy Category D: Positive evidence of risk,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
53,diclofenac,ACL Injury (Muscle Pain),diclofenac systemic, Zipsor,Nonsteroidal anti-inflammatory drugs ,Available by prescription only,Pregnancy Category D: Positive evidence of risk,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
54,diclofenac,ACL Injury (Muscle Pain),diclofenac systemic, Lofena,Nonsteroidal anti-inflammatory drugs ,Available by prescription only,Pregnancy Category D: Positive evidence of risk,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
55,Tylenol,ACL Injury (Muscle Pain),acetaminophen systemic,Voltaren,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
56,Tylenol,ACL Injury (Muscle Pain),acetaminophen systemic, Cataflam,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
57,Tylenol,ACL Injury (Muscle Pain),acetaminophen systemic, Zipsor,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
58,Tylenol,ACL Injury (Muscle Pain),acetaminophen systemic, Lofena,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
59,Paracetamol,ACL Injury (Muscle Pain),acetaminophen systemic,Voltaren,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
60,Paracetamol,ACL Injury (Muscle Pain),acetaminophen systemic, Cataflam,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
61,Paracetamol,ACL Injury (Muscle Pain),acetaminophen systemic, Zipsor,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
62,Paracetamol,ACL Injury (Muscle Pain),acetaminophen systemic, Lofena,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
63,Tylenol Arthritis Pain,ACL Injury (Muscle Pain),acetaminophen systemic,Voltaren,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
64,Tylenol Arthritis Pain,ACL Injury (Muscle Pain),acetaminophen systemic, Cataflam,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
65,Tylenol Arthritis Pain,ACL Injury (Muscle Pain),acetaminophen systemic, Zipsor,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
66,Tylenol Arthritis Pain,ACL Injury (Muscle Pain),acetaminophen systemic, Lofena,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
67,Advil,ACL Injury (Muscle Pain),ibuprofen systemic,Voltaren,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
68,Advil,ACL Injury (Muscle Pain),ibuprofen systemic, Cataflam,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
69,Advil,ACL Injury (Muscle Pain),ibuprofen systemic, Zipsor,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
70,Advil,ACL Injury (Muscle Pain),ibuprofen systemic, Lofena,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
71,Aleve,ACL Injury (Muscle Pain),naproxen systemic,Voltaren,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
72,Aleve,ACL Injury (Muscle Pain),naproxen systemic, Cataflam,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
73,Aleve,ACL Injury (Muscle Pain),naproxen systemic, Zipsor,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
74,Aleve,ACL Injury (Muscle Pain),naproxen systemic, Lofena,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
75,Voltaren,ACL Injury (Muscle Pain),diclofenac systemic,Voltaren,Nonsteroidal anti-inflammatory drugs ,Available by prescription only,Pregnancy Category D: Positive evidence of risk,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
76,Voltaren,ACL Injury (Muscle Pain),diclofenac systemic, Cataflam,Nonsteroidal anti-inflammatory drugs ,Available by prescription only,Pregnancy Category D: Positive evidence of risk,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
77,Voltaren,ACL Injury (Muscle Pain),diclofenac systemic, Zipsor,Nonsteroidal anti-inflammatory drugs ,Available by prescription only,Pregnancy Category D: Positive evidence of risk,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
78,Voltaren,ACL Injury (Muscle Pain),diclofenac systemic, Lofena,Nonsteroidal anti-inflammatory drugs ,Available by prescription only,Pregnancy Category D: Positive evidence of risk,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
79,Anaprox,ACL Injury (Muscle Pain),naproxen systemic,Voltaren,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
80,Anaprox,ACL Injury (Muscle Pain),naproxen systemic, Cataflam,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
81,Anaprox,ACL Injury (Muscle Pain),naproxen systemic, Zipsor,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
82,Anaprox,ACL Injury (Muscle Pain),naproxen systemic, Lofena,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
83,nabumetone,ACL Injury (Muscle Pain),nabumetone systemic,Voltaren,Nonsteroidal anti-inflammatory drugs ,Available by prescription only,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
84,nabumetone,ACL Injury (Muscle Pain),nabumetone systemic, Cataflam,Nonsteroidal anti-inflammatory drugs ,Available by prescription only,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
85,nabumetone,ACL Injury (Muscle Pain),nabumetone systemic, Zipsor,Nonsteroidal anti-inflammatory drugs ,Available by prescription only,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
86,nabumetone,ACL Injury (Muscle Pain),nabumetone systemic, Lofena,Nonsteroidal anti-inflammatory drugs ,Available by prescription only,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
87,Motrin,ACL Injury (Muscle Pain),ibuprofen systemic,Voltaren,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
88,Motrin,ACL Injury (Muscle Pain),ibuprofen systemic, Cataflam,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
89,Motrin,ACL Injury (Muscle Pain),ibuprofen systemic, Zipsor,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
90,Motrin,ACL Injury (Muscle Pain),ibuprofen systemic, Lofena,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
91,Naprosyn,ACL Injury (Muscle Pain),naproxen systemic,Voltaren,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
92,Naprosyn,ACL Injury (Muscle Pain),naproxen systemic, Cataflam,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
93,Naprosyn,ACL Injury (Muscle Pain),naproxen systemic, Zipsor,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
94,Naprosyn,ACL Injury (Muscle Pain),naproxen systemic, Lofena,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
95,Cataflam,ACL Injury (Muscle Pain),diclofenac systemic,Voltaren,Nonsteroidal anti-inflammatory drugs ,Available by prescription only,Pregnancy Category D: Positive evidence of risk,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
96,Cataflam,ACL Injury (Muscle Pain),diclofenac systemic, Cataflam,Nonsteroidal anti-inflammatory drugs ,Available by prescription only,Pregnancy Category D: Positive evidence of risk,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
97,Cataflam,ACL Injury (Muscle Pain),diclofenac systemic, Zipsor,Nonsteroidal anti-inflammatory drugs ,Available by prescription only,Pregnancy Category D: Positive evidence of risk,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
98,Cataflam,ACL Injury (Muscle Pain),diclofenac systemic, Lofena,Nonsteroidal anti-inflammatory drugs ,Available by prescription only,Pregnancy Category D: Positive evidence of risk,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
99,Tylenol 8 Hour,ACL Injury (Muscle Pain),acetaminophen systemic,Voltaren,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
100,Tylenol 8 Hour,ACL Injury (Muscle Pain),acetaminophen systemic, Cataflam,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
101,Tylenol 8 Hour,ACL Injury (Muscle Pain),acetaminophen systemic, Zipsor,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
102,Tylenol 8 Hour,ACL Injury (Muscle Pain),acetaminophen systemic, Lofena,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
103,Advil Liqui-Gels,ACL Injury (Muscle Pain),ibuprofen systemic,Voltaren,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
104,Advil Liqui-Gels,ACL Injury (Muscle Pain),ibuprofen systemic, Cataflam,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
105,Advil Liqui-Gels,ACL Injury (Muscle Pain),ibuprofen systemic, Zipsor,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
106,Advil Liqui-Gels,ACL Injury (Muscle Pain),ibuprofen systemic, Lofena,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
107,Dolono,ACL Injury (Muscle Pain),acetaminophen systemic,Voltaren,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
108,Dolono,ACL Injury (Muscle Pain),acetaminophen systemic, Cataflam,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
